index,ISBN,제목,상품명,저자,출판사,설명,국가,장르
1,9788937443848,이방인,이방인,알베르 카뮈 김화영,민음사,20 세기 지성 이자 실존 주의 문학 대표 작가 알베르 카뮈 현실 소외 되어다 이방인 살아가다 현대인 초상 리다 낯선 인물 독창 형식 현대 프랑스 문단 이방인 나타나다 소설 젊다 무명 작다 알베르 카뮈 세계 명성 안기다 준 작품 현실 소외 되어다 이방인 살아가다 현대인 죽음 앞두다 마주 실존 체험 강렬하다 린다,프랑스,
2,9788937461798,브람스를 좋아하세요...,브람스 좋아하다,프랑수아즈 사강 김남주,민음사,프랑스 문단 섬세하다 심리 묘사 대가 프랑수아 사강 그리다 내다 세 남녀 사랑 집착 탈 불안 기쁨 작품 전혀 두 사랑 앞 방황 폴 심리 중심 사랑 감정 연결 로제 시몽 심리 섬세하다 묘사,프랑스,
3,9791164455300,초판본 어린왕자,초 판본 어린왕자,생텍쥐페리 김미정,더스토리,전 세계 사랑 스 테디 셀러 250 개 언어 번역 1억 부 판매 명작 세상 순수하다 영혼 어리다 왕자 리지 널 초 판본 표지 디자인 생텍쥐페리 프랑스 유명하다 소설가 작품 어리다 왕자 늘다 전 세계 성경 자본론 읽히다 책 250 개 언어 번역 되어다 1억 부 팔리다 아이러니 어리다 왕자 늘다 프랑스 미국 뉴욕 처음 출판 되어다 당시 생텍쥐페리 2 차 세계대전 미국 망명 중 어리다 왕자 늘다 1943년 4월 6일 영어 판 프랑스어 판 뉴욕 동시 추다 간 되어다 더스토리 추다 간 무선 초 판본 표지 디자인 어리다 왕자 늘다 1943년 뉴욕 출판 프랑스어 판 초 판본 표지 디자인 되살리다 어둡다 빛바 지도 노란색 표지 어리다 왕자 연둣빛 옷 색감 자다 살 본문 생텍쥐페리 친필 사인 들다,프랑스,
4,9791190669313,어린 왕자 오리지널 초판본,어리다 왕자 리지 널 초 판본,앙투안 드 생텍쥐페리 김수영,코너스톤(도서),중요하다 눈 보이지 사랑 어리다 왕자 초 판본 디자인 만나다 오후 시 오다 세 시 행복하다 갈수록 더 행복하다 시가 흥분 행복 값지다 오다 난 마음 준비 모르다 의식 필요하다 사막 추락 조종사 지구 여행 중인 어리다 왕자 만나다 생텍쥐페리 대표 작 어리다 왕자 늘다 1943년 추다 간 이렇다 연극 영화 뮤지컬 만화 애니메이션 오페라 샹송 카세트 테이프 CD 다양하다 매체 변용 되어다 많다 사랑 받다 독자 읽다 늘 새롭다 의미 발견 해주다 어리다 왕자 늘다 디지털 시대 아날로그 종이 책 1억 5천만 부 팔리다 유명하다,프랑스,
5,9788986836837,왜 나는 너를 사랑하는가,왜 나 너 사랑 하다,알랭 드 보통 정영목,청미래,보통 연인 위 보통 연애담 국내 70만 독자 선택 알랭 드 보통 최고 소설 연애 사랑 순간 우연이 사랑 순간 비밀 사랑 애란 영원하다 질문 관 진실하다 해답 30 개국 베스트셀러 기록 알랭 드 보통 대표 작 사랑 가다 70만 부 판매 기념 산뜻하다 표지 새롭다 추다 간 되어다 런던 파리 오가다 비행기 만나다 순식간 사랑 빠지다 두 젊은이 관 소설 연인 특별하다 관계 사랑 감정 놀랍다 깊이 그리다 추다 간 직후 전 세계 독자 사로자다 사랑 빠지다 행위 허다 점 넘어서다 싶다 인간 희망 승리 알랭 드 보통 흥미롭다 소설 사랑 관 철학 명상 가득 차,프랑스,
6,9788982816635,자기 앞의 생,자기 앞 생,에밀 아자르 용경식,문학동네,유일하다 공쿠르 상 두 번 받다 작가 로맹 가리다 밀 할아버지 사랑 살 휴머니즘 작가 알려지다 로맹 가리다 러시아 이민자 출신 유태인 2 차 세계대전 세계 각지 외교관 1956년 소설 하늘 뿌리 공쿠르 상 수상하다 가명 여러 소설 발표 아자르 이름 발표 두번째 소설 앞 생 작가 결코 두 번 주어지다 공쿠르 상 수상하다 공쿠르 상 두 번 받다 작가 되어다 작가 실제 나이 많다 나이 살 열다 살 모모 눈 통해 이해 세상 바라보다 모모 눈 비치다 세상 결코 꿈 아름답다 세상 눈 바라보다 세상 더욱 각박하다 모진 곳 아랍인 아프리카인 창녀 노인 모모 사랑 사회 소외 되어다 밑바닥 인생 살아가다,프랑스,
7,9788932917245,어린 왕자,어리다 왕자,앙투안 드 생텍쥐페리 황현산,열린책들,고 황현산 선생 미려 충실하다 번역 한겨울 풍경 그린 특별하다 한정판 디자인 만나다 어리다 왕자 프랑스 문학 연구자 이자 문학 평론가 고 황현산 선생 미려 번역 열리다 책 추다 간 생텍쥐페리 어리다 왕자 가다 특별하다 한정판 디자인 선보이다 다양하다 번역본 중 단연 아름답다 충실하다 문장 손꼽다 황현산 선생 번역 지금껏 팔리다 한국어 판 자리 잡고 추다 가다 한정판 마음 남아 어리다 왕자 맞이 한겨울 크리스마스 모습 담다 디자인 눈사람 산타클로스 모자 반짝이다 장식 아름 선물 어리다 왕자 따스하다 둘러싸다 사랑스럽다 풍경 특별하다 간직 볼 밤하늘 바라보다 별 중 별 살 테 속삭이다 어리다 왕자 말 겨울 에디 션 멀다 별 보내다 어리다 왕자 다정하다 행복하다 상상,프랑스,
8,9791194280781,초판본 이방인,초 판본 이방인,알베르 카뮈 최헵시바,더스토리,실존 주의 문학 선구자 노벨 문학상 수상작 알베르 카뮈 대표 작 이방인 르 몽드 선정 20 세기 최고 작품 1 위 생 부조리 인간 실존 다루다 작품 억압 관습 현실 부조리 민낯 보이다 준 실존 주의 문학 대표 작품 이방인 이방인 은 알베르 카뮈 구상 부조리극 삼부작 중 이자 쓸다 최초 소설 1942년 5월 말 추다 간 당시 문학 사건 취급 정도 엄청나다 호평 받다 2 차 세계대전 최대 걸작 극찬 받다 이방인 은 작품 자체 보나 20 세기 서사 형식 역사 보나 독보 위치 작품 당시 스물 젊다 알베르 카뮈 세계 작가 열 올려놓다 1957년 노벨 문학상 영예 안기다 20 세기 마감 1999년 프랑스 권위 르 몽드 가다 지난 세기 최고 작품 선정 투표 실시,프랑스,
9,9788937462672,페스트,페스트,알베르 카뮈 김화영,민음사,위험 도 사리다 폐쇄된 도시 극한 절망 마주 다양하다 인간 군상 페스트 비극 소용돌이 속 현실 직시 의연하다 운명 대결 인간 모습 다루다 걸작 카뮈 작품 공포 죽음 이별 아픔 인간 경험 극한 고통 절망 그리다 내다,프랑스,
10,9788932924984,그녀를 지키다,그녀 지키다,장바티스트 앙드레아 정혜용,열린책들,2023년 공쿠르상 수상 2023년 프낙 소설 수상 데뷔 이렇다 단 권 소설 프랑스 주요 문학상 19 개 수상한 뜨겁다 주목 받다 작가 장바 티스 트 앙드레아 빛나다 걸작 펴내다 소설 프랑스 주요 문학상 휩쓸다 폭발 화제 모으다 장바 티스 트 앙드레아 장편소설 지키다 가다 정혜 용 씨 번역 열리다 책 추다 간 되어다 세계 3 대다 문학상 공쿠르상 수상한 작품 수도원 지하 유폐 피에타 석상 숨기다 비밀 석공 미모 굴곡 진 삶 통해 풀다 가면 파시즘 득세 당시 이탈리아 풍경 섬세하다 묘사 속 태생 한계 사회 난관 꺾다 인간 영혼 아름답다 움 설득 보이다 주다 영화감독 이자 시나리오 작가 장바 티스 트 앙드레아 특기 유감 발휘 소설 장면 장면 영화 컷 생동감 넘치다 담다 내다,프랑스,
