순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788937460586,257435,싯다르타,"7,200원",400원,헤르만 헤세 저/박병덕 역,민음사,,1,국내도서-소설/시/희곡
2,9788937460449,176787,데미안,"7,200원",400원,헤르만 헤세 저/전영애 역,민음사,"데미안을 통해 참다운 어른이 되어 가는 소년 싱클레어의 이야기.
한 폭의 수채화같이 아름답고 유려한 문체로 전세계인의 사랑을 받고 있는 작품. 감수성이 풍부한 주인공 싱클레어가 소년기에서 청년기를 거쳐 어른으로 자라가는 과정이 세밀하고 지적인 문장으로 그려져 있습니다. 진저한 삶에 대해 고민하고 올바르게 살기 위해 노력하는데미안과 싱클레어의 깊이 있...",1,국내도서-소설/시/희곡
3,9791164453115,91909794,초판본 데미안,"2,690원",140원,헤르만 헤세 저/이순학 역,더스토리,"‘요즘책방 책읽어드립니다’ 방송 도서!

나를 찾아가는 길, 『데미안』 오리지널 표지디자인!
1919년의 ‘싱클레어’가 다시 찾아옵니다!

『데미안』은 헤르만 헤세가 1919년 ‘에밀 싱클레어’라는 가명으로 출판한 소설이다. 당시 문단에서 대문호로 인정받던 헤르만 헤세는 작가로서 자신의 소설이 작품성만으로 인정받는지 확인해보고 싶었고, 그 결과는 성공적이었다. 이후 많은 사람들이 무명작가 ‘에밀 싱클레어’를 궁금해했고, 헤르만 헤세는 자신이 ‘에밀 싱클레어’라는 사실을 밝혔다. 더스토리에서 출간한 초판본 『데미안』은 1919년 헤르만 헤세가 ‘에밀 싱클레어’라는 이름으로 출판한 초판본 표지디자인을 그대로 채택했다. 『데미안』은 헤르만 헤세가 자신의 정체를 밝힌 이후, 1920년 판본부터 저자 이름을 헤르만 헤세로 바꿔서 출판했다.",1,국내도서-소설/시/희곡
4,9791194280828,142685984,초판본 싯다르타,"2,690원",140원,헤르만 헤세 저/박진권 역,더스토리,"1922년 오리지널 초판본 표지디자인
세상의 근원을 탐구하며 ‘참 나’를 찾아가는 길
독일의 대문호 헤르만 헤세의 영혼이 투영된 자전 소설

20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 헤세는 휴머니즘을 지향하며, 고뇌하는 청춘과 자연에 대한 동경, 인간의 양면성 등을 작품에 담았다. 도서출판 더스토리는 헤르만 헤세 탄생 140주년을 기념하여 헤르만 헤세의 대표작인 《싯다르타》를 초호화 패브릭 양장으로 제작하였다. 패브릭 특유의 고급스러운 색감과 감촉뿐만 아니라 1919년 출판된 독일 피셔 출판사의 초판본 표지디자인을 그대로 되살려 소장 가치를 한층 높였다. 또한 실로 꿰맨 정통적인 사철 제본을 통해 책의 내구성을 높이고 펼쳐 읽기도 편하게 만들었으며, 독일의 대표적 표지 제작 방식 중 하나인 초코박을 재현하여 오리지널 초판본의 품격과 가치를 담아냈다.",1,국내도서-소설/시/희곡
5,9791194280804,142685981,초판본 변신,"2,690원",140원,프란츠 카프카 저/한영란 역,더스토리,"세상에서 소외되어 버림받은 인간 탐구
치열한 삶을 살았던 실존주의 대표 작가의 걸작!

세상에서 소외되어 버림받은 인간을 탐구하는 카프카의 《변신》이 더스토리 1916년 오리지널 초판본 표지디자인으로 새롭게 출간되었다. 이 책에 실린 9편의 작품들에는 평생 아버지와 대립을 겪으며 작가의 길과 생활인의 길에서 방황한 카프카 자신의 고뇌가 녹아 있다. 결국 그는 독자들에게 태어나자마자 주어진 사회라는 테두리 안에서 적응하면서 본래의 자신을 잃어버리고 살아가느냐, 아니면 그것을 부정하면서 자신의 꿈에 도전하면서 살아가느냐에 대한 끊임없는 고민을 숙제로 남겼다.",1,국내도서-소설/시/희곡
6,9791194591429,143303283,초판본 젊은 베르테르의 슬픔,"2,690원",140원,요한 볼프강 폰 괴테 저/허승진 역,더스토리,"“운명이여, 나는 왜 이리도 행복하고 왜 이리도 불행한가!
정녕 나보다 행복한 이도 없고, 나보다 비참한 이도 없구나!” 

청춘의 질풍노도의 마음, 그 강렬한 열정과 휘몰아치는 감정을 
가장 순수한 형태로 표현한 작품 《젊은 베르테르의 슬픔》
단테, 셰익스피어와 함께 세계 3대 시성으로 꼽히는 괴테의 자전적 소설 

“나는 체험하지 않은 것은 한 줄도 쓰지 않았다. 그러나 단 한 줄의 문장도 체험한 것 그대로 쓰지는 않았다”는 말처럼, 주인공 베르테르는 괴테 자신이자, 우리 ‘상처받기 쉬운 영혼’들의 초상화와도 같다. 사랑과 도덕, 광기와 이성, 행복과 불행, 삶과 죽음 사이에서 고뇌하는 베르테르에게 우리가 공감하는 이유다. 편지글로 이루어진 구성이, 마치 베르테르가 직접 독자에게 고백하는 듯해서 더욱 강렬하게 몰입하게 된다.",1,국내도서-소설/시/희곡
7,9788937460944,426994,차라투스트라는 이렇게 말했다,"14,400원",800원,프리드리히 니체 저/장희창 역,민음사,"서양 철학사상 가장 독창적인 철학자의 가장 위대한 서사시
니체의 핵심 철학이 장쾌하고 시적인 언어로 집약된 대표작

“그대들에게 말하거니와, 춤추는 별을 낳으려면
인간은 자신 속에 혼돈을 간직하고 있어야 한다.”

모든 이를 위한, 그러나 그 누구의 것도 아닌 책

니체의 『차라투스트라는 이렇게 말했다』가 민음사에서 출간되었다. “또?”라고 묻는 사람이 있다면, “얼마든지.”라고 답할 수밖에 없다. “왜?”라고 묻는다면, “그래야만 한다.”라고 대답할 테고, “그럴 만한가?”라는 물음에도 역시 “얼마든지.”라고 할 것이다. 이 책은 낡은 고전을 단순히 재생산해 낸 것이 아니다. 그렇다고 새로운 논쟁거리를 내세워 주목을 받으려는 전략이나 오래전부터 두꺼운 해석의 외투에 겹겹이 둘러싸인 작품의 아우라를 변질시키려는 그 어떤 의도도 없다.",1,국내도서-소설/시/희곡
8,9788937460500,221158,수레바퀴 아래서,"7,200원",400원,헤르만 헤세 저/김이섭 역,민음사,"헤세 자신의 자전적 소설. 민감한 정신의 소유자이자 심리적으로 불안정한 어린 신학도 한스 기벤라트는 헤세의 분신이다. 그가 엄격한 신학교의 규율을 이겨내지 못하고 신경쇠약에 걸려 학교에서 쫓겨난 점, 작은 고향 도시로 돌아와 공장의 견습공으로 새로운 삶을 열어보려 했던 시도 등은 헤세의 우울한 청소년기와 겹치는 장면들이다. 다만 다른 점이 있다면 헤세...",1,국내도서-소설/시/희곡
9,9788937460043,17359,변신 시골의사,"7,650원",420원,프란츠 카프카 저/전영애 역,민음사,"밀란 쿤데라와 더불어 체코의 두 K로 일컬어지는 불운의 소설가 카프카의 단편 모음집. 어느날 잠에서 깨어나 보니 자신이 벌레로 변해 있는 상황을 통해 인간의 무기력함과 왜소함을 그로테스크하게 그려낸 작품 을 포함, , ,  등 30편 이상의 단편을 수록하고 있다.",1,국내도서-소설/시/희곡
10,9788937428852,147561763,싯다르타,"13,500원",750원,헤르만 헤세 저/박병덕 역,민음사,"그 어떤 가르침도 받지 말아야지.
나 자신한테서 배울 것이며,
나 자신의 제자가 될 것이며,
나 자신을, 싯다르타라는 비밀을 알아내야지.

우리 시대의 가장 위대한 정신적 스승 싯다르타
동양 사상에 대한 헤르만 헤세의 관심과 애정이 응축된 소설

진리는 가르칠 수 없다는 것. 이 깨달음을 나는 일생에 꼭 한번 문학적으로 형상화하고자 했다. 그 시도가 바로 『싯다르타』다. - 헤르만 헤세
노자의『도덕경』이후 내게 이보다 더 중요한 책은 없었다. 문학의 종교적, 철학적 지평을 넓혀 준 『싯다르타』는 정신적으로 신약성서보다 더 큰 치유력을 가진 작품이다. - 헨리 밀러

동서양의 정신적 유산을 시적으로 승화한 종교적 성장 소설의 대표작, 헤르만 헤세의 『싯다르타』특별판이 출간되었다. 20세기 독일 문학을 대표하는 작가 헤르만 헤세는 인간 내면의 고뇌와 구원, 자아 실현을 지속적으로 탐구해 온 작가다.",1,국내도서-소설/시/희곡
