ISBN,상품명,저자,출판사,설명,장르
9788901049847,지문사냥꾼,이적 저,웅진지식하우스,"'피리 부는 사나이'로 등장했던 이적이 이번에는 탁월한 '이야기꾼'이 되어 나타났다. '달팽이', '왼손잡이' 등 100여 곡에 달하는 노래로 우리 대중음악계에 새로운 상상의 숨결을 불어넣어온 이적의 판타스틱 픽션. 노래 가사에서 전해지던 그의 유머와 상상력이 열 두 편의 이야기가 되어 반짝반짝 빛을 발한다. 아슬아슬한 떨림과 몽상적인 분위기가 녹아있는 매우 독특한 느낌의 책.  ",판타지
9788901070605,테메레르 2,나오미 노빅 저/공보경 역,노블마인,"나폴레옹 전쟁이 한창이던 19세기 유럽, 용과 비행사로 구성된 각국의 공군들이 전쟁에 참전하면서 일어나는 에피소드를 다룬 대체역사판타지 소설 《테메레르》시리즈. 제2권에서는 중국 황제가 나폴레옹에게 보낸 선물이었던 용 테메레르를 중국대사가 즉시 돌려보내달라고 요청하는 장면으로 시작한다. 이에 뛰어난 지성과 섬세한 감정을 지닌 용 테메레르와 그의 비행사 로렌스 대령은 영국에서 아프리카를 돌아‘용들의 천국’중국에 이르기까지 거대 스케일의 전투와 상상을 초월한 모험을 시작한다. 

 피터잭슨 감?..",판타지
9788901094243,대위의 딸,알렉산드르 푸시킨 저/심지은 역,펭귄클래식코리아,"러시아 문학의 아버지 알렉산드르 푸시킨의 마지막 소설

근대 러시아어의 규범을 확립하는 동시에 완성하고, 근대 러시아문학의 기틀을 확립한 알렉산드르 푸시킨의 역작이다. 이 작품은 극심한 농노혁명을 겪었던 혼란한 18세기 러시아를 배경으로, 그 속에서 자신의 명예를 끝까지 지키고자 애썼던 한 평범한 귀족 청년의 사랑 이야기를 골자로 하는 역사소설이다.",역사
9788901104935,SF 명예의 전당 1,아이작 아시모프 등저/로버트 실버버그 편/박병곤 등역,오멜라스,"미국 SF작가협회가 선정한 최고의 SF작품들

미국 SF작가협회에서 선정한 SF 역사상 최고의 작품들을 한 권의 책에 담았다. 미국 SF작가협회의 회장을 역임한 로버트 실버버그는 회원들의 투표를 통해 선정된 작품 중 열세 작품을 추려 〈SF 명예의 전당〉 첫 번째 책으로 엮어 냈다. 투표결과를 토대로 분량이나 균형감, 과학소설에 대한 작가의 전반적인 공헌을 고려하여 1965년 이전의 작품들을 선정하여 실었다.

영미 SF문학계의 3대 거장으로 꼽히는 아이작 아시모프의 「전설의 밤」, 아서 C.",SF
9788901110813,SF 명예의 전당 2,로버트 하인라인 등저/로버트 실버버그 편/최세진 등역,오멜라스,"미국 SF작가협회가 선정한 최고의 SF작품들

미국 SF작가협회에서 선정한 SF 역사상 최고의 작품들을 한 권의 책에 담았다. 미국 SF작가협회의 회장을 역임한 로버트 실버버그는 회원들의 투표를 통해 선정된 작품 중 열세 작품을 추려 〈SF 명예의 전당〉 첫 번째 책으로 엮어 냈다. 투표결과를 토대로 분량이나 균형감, 과학소설에 대한 작가의 전반적인 공헌을 고려하여 1965년 이전의 작품들을 선정하여 실었다.",SF
9788901125916,SF 명예의 전당 4,존 W. 캠벨 등저/벤 보바 편/박상준 등역,오멜라스,"『SF 명예의 전당 3 : 유니버스』는 미국 SF작가협회(SFWA)에서 펴낸 『The Science Fiction Hall of Fame, Vol. 2A』를 두 권으로 나누어 출간한 한국어 완역판의 첫 번째 권이다.  미국SF작가협회에서는 세계 최고 권위의 SF 문학상 중 하나인 네뷸러 상(Nebula Award)을 해마다 시상하고 있다. 네뷸러 상은 1965년에 미국SF작가협회가 설립되면서 시작된 것으로, 심사 대상은 전년도에 발표된 작품들로 한정된다. 이에 미국SF작가협회에서는 1965년 이전에 발표되었던 작품들을 대상으로 소속 작가에게 투표를 실시하여, 최다 득표작들...",SF
9788901204956,섀도우 헌터스 4,카산드라 클레어 저/오정아 역,노블마인,"“숨이 막힐 정도로 아름답다. 이 세계 속으로 뛰어들고 싶다!” _스테파니 메이어(""트와일라잇""작가)
뉴욕타임스 96주간 베스트셀러전 세계 35개 언어로 번역, 누적 판매부수 2400만 부 돌파 2016년 ABC 드라마 방영 예정! 

카산드라 클레어의 대작 판타지 시리즈 [섀도우 헌터스 The Mortal Instruments] 4권 [추락천사의 도시]와 5권 [혼령들의 도시]가 노블마인에서 출간되었다. 천사의 피를 마시고 초인간적인 능력을 부여받음으로써 악마 사냥의 숙명을 걸머지게 된 섀도우 헌터들의 싸움을 그려낸 이 작품은 지금까지 전 세계 35개 언어로 번역, 누적 판매부수 2400만 부를 돌파한 베스트셀러이다. 2013년 릴리 콜린스·제이미 캠벨 바우어 주연의 영화가 개봉되었으며, 2016년 ABC 드라마로 팬들을 다시 만날 예정이다.",판타지
9788901285498,기억의 낙원,김상균 저,웅진지식하우스,"★ 2024 부산국제영화제 부산스토리마켓 공식 선정작 ★
★ 소설가 장강명, 뇌과학 박사 장동선 추천 ★
★ AI가 쓴 스핀오프 단편소설 『발할라의 꿈』 수록 ★

이제는 볼 수 없는 아내를 다시 볼 수만 있다면. 평생 고생한 엄마가 세상을 떠나기 전에 잠시라도 꿈꾸던 삶을 살다가 갈 수 있다면…. 누군가 그것을 가능하게 해준다고 은밀히 제안해온다면 당신은 어떤 선택을 할 것인가? 단 한 번 돈을 지불하면 끝이다.

『기억의 낙원』은 인간이 결코 뛰어넘을 수 없는 생과 사, 의식과 인지능력의 한계를 기술로 사고팔 수 있는 세계를 그린 소설이다. BCI(Brain-Computer Interface), AI, 메타버스 등이 날로 발전하는 시대에 『기억의 낙원』이 상상한 미래는 어쩌면 코앞에 당도했을지도 모른다.",SF
9788925106106,용병시대 1,최후식 저 ,청어람,"불후의 명작 『표류공주』최후식의 최신작!!
7년의 장고 끝에 심혈을 기울여 태어난 역작!
『용병시대』

스팟!
빛이 있었다, 아주 눈부신.
그것은 내 육십 평생,
아니, 육십 평생은 춘배 할배가 많이 쓰는 말이고,
여섯 평생에 난생처음 보는 현란한 빛이었다.
그것은 내 육십 평생, 더 나아가서 그 이상의 평생이 지나도
결코 잊을 수 없는, 신선한 충격이었다.
달콤한 아편과도 같은 또 다른 세상과의 조우였던 것이다.

무인들이 빚어낸 찬란한 빛의 광란 앞에서
소년은 묘하게 가슴이 두근거렸다....",판타지
9788925106113,용병시대 2,최후식 저,청어람,"불후의 명작 『표류공주』최후식의 최신작!!
7년의 장고 끝에 심혈을 기울여 태어난 역작!
『용병시대』

스팟!
빛이 있었다, 아주 눈부신.
그것은 내 육십 평생,
아니, 육십 평생은 춘배 할배가 많이 쓰는 말이고,
여섯 평생에 난생처음 보는 현란한 빛이었다.
그것은 내 육십 평생, 더 나아가서 그 이상의 평생이 지나도
결코 잊을 수 없는, 신선한 충격이었다.
달콤한 아편과도 같은 또 다른 세상과의 조우였던 것이다.

무인들이 빚어낸 찬란한 빛의 광란 앞에서
소년은 묘하게 가슴이 두근거렸다....",판타지
