순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791141609962,145361149,연매장,"15,750원",870원,팡팡 저/문현선 역,문학동네,"*2017 루야오문학상 수상* 
*수상 즉시 금서로 지정된 문제작*

성역 없는 글쓰기로 정부에 의해 삭제된 작가
BBC 선정 2020 올해의 여성 100인 ‘팡팡’의 대표작 
모든 의혹과 고통을 기꺼이 써내는 작가 ‘팡팡’이
진실에 닿기 위해 분투한 문학적 기록

2020년 신종 코로나바이러스로 봉쇄된 우한의 참상과 생존기를 담은 『우한일기』 출간 이래 중국 정부에서 금서 작가로 지명당한 팡팡은 평생 진실한 글쓰기를 소명으로 삼은 작가다. 거대한 흐름 속에서 고군분투하는 개인의 눈을 통해 역사를 보여주고, 이데올로기에 파묻힌 인간의 존엄을 섬세하고 생동감 있게 그려왔다. 『깨진 칠현금』으로 2010년 제5회 루쉰문학상, 『연매장』으로 2017년 제3회 루야오문학상을 수상하며 뛰어난 문학성을 인정받았으며, 모두가 이야기하기 꺼리는 주제를 기꺼이 써내며 성역 없는 글쓰기를 이어나가고 있다.",1,국내도서-소설/시/희곡
2,9788954442688,90926731,삼체 1~3 세트,"60,300원","3,350원","류츠신 저/이현아,허유영 공역",자음과모음,"아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 대표작 『삼체』. 『1부―삼체문제』 『2부―암흑의 숲』 『3부―사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다. 오바마 미국 전 대통령이 “『삼체』를 읽을 때 작품 스케일이 워낙 커서 백악관의 일상사가 사소하게 느껴졌다”(『뉴욕타임스』 인터뷰)라고 평했을 만큼, 『삼체』가 구축하고 있는 세계는 무한한 우주를 향해 끝없이 팽창한다.",1,국내도서-소설/시/희곡
3,9791156754312,122280138,인생,"15,120원",840원,위화 저/백원담 역,푸른숲,"전 세계인의 마음을 울린 위대한 작가 위화
등단 40주년 기념 『인생』 『허삼관 매혈기』 개정판 출간!

현대 고전의 반열에 오른
‘삶’이 계속되는 한 영원히 유효한 이야기

전 세계적으로 중국 현대문학을 대표하는 작가 위화의 등단 40주년을 맞아 대표작 『인생』, 『허삼관 매혈기』 개정판이 도서출판 푸른숲에서 출간되었다. 2007년 3판 출간 이후 무려 16년 만의 개정이다. 1996년 국내 첫 출간 이후 지난 30여 년간 여러 세대를 통과하면서도 줄곧 큰 사랑을 받아온 두 작품을 새 모습으로 만나볼 수 있게 되었다. 내부적으로는 번역가 최용만과 백원담이 완성도에 심혈을 기울여 문장을 다시 세밀히 손보았으며, 외부적으로는 전통적 디자인에서 탈피해 모던한 디자인으로서 고전의 면모를 강조하였다.

위화는 노벨문학상을 수상한 모옌, 루쉰문학상을 수상한 옌렌커와 함께 중국 현대문학을 대표하는 거장이다.",1,국내도서-소설/시/희곡
4,9788954442695,107477481,삼체 1부,"15,300원",850원,류츠신 저/이현아 역,자음과모음,"세 개 태양이 불타는 켄타우루스 알파성 삼중성계
삼체 문명의 항성급 함대가 지구를 향해 출발한다
“인류가 이 전쟁에서 승리하는 것은 불가능하다. 너희는 벌레다!”
SF의 신화가 된 류츠신 『삼체』

아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 대표작 『삼체』. 『1부 : 삼체문제』 『2부 : 암흑의 숲』 『3부 : 사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다. 오바마 미국 전 대통령이 “『삼체』를 읽을 때 작품 스케일이 워낙 커서 백악관의 일상사가 사소하게 느껴졌다”(『뉴욕타임스』 인터뷰)라고 평했을 만큼, 『삼체』가 구축하고 있는 세계는 무한한 우주를 향해 끝없이 팽창한다.

『삼체』는 작가가 컴퓨터 엔지니어로 일하며 축적한 과학적 이론을 기반으로 독자들에게 우주에 관한 초월적인 시야를 선사한다.",1,국내도서-소설/시/희곡
5,9791160078572,116768623,13.67,"17,100원",950원,찬호께이 저/강초아 역,한스미디어,"중국어권 최고의 추리소설 작가
찬호께이의 대표작 『13·67』
10쇄 기념 전면 개정판 출간!

2015년 추리소설의 불모지로 여겨졌던 중국, 그것도 홍콩에서 날아와 한국 독자들을 놀라게 한 걸작 추리소설이자 찬호께이의 대표작. 찬호께이는 홍콩 작가로서 『기억하지 않음, 형사』(한스미디어 출간)로 ‘제2회 시마다 소지 상’을 수상한 데 이어, 2014년에는 ‘2015 타이베이 국제 도서전’에서 대상을 수상한 『13·67』을 내놓아 결정적으로 국적을 넘어 세계에 이름을 떨치는 작가로 자리잡았다.
『13·67』은 홍콩을 배경으로 1967년도부터 2013년까지의 여섯 개 사건을 역순으로 펼쳐놓는 장편소설이다. 2020년대에 읽어도 참신한 순서의 구성에 더해 혼수상태에서조차 명추리를 자랑하는 경찰 고문 관전둬가 독자의 마음을 강렬하게 사로잡는다. ",1,국내도서-소설/시/희곡
6,9791158884680,67230426,종이 동물원,"15,300원",850원,켄 리우 저/장성주 역,황금가지,"가장 주목받는 SF 환상문학 작가 켄 리우의 소설집. 최고의 권위를 자랑하는 휴고 상, 네뷸러 상, 세계환상문학상을 40년만에 첫 동시 수상한 대표작 「종이 동물원」을 비롯하여 SF에서부터 하드보일드, 대체 역사, 전기(傳奇)소설에 이르기까지 그의 걸작 단편 14편을 수록했다.",1,국내도서-소설/시/희곡
7,9788954442701,107477517,삼체 2부,"22,500원","1,250원",류츠신 저/허유영 역,자음과모음,"세 개 태양이 불타는 켄타우루스 알파성 삼중성계
삼체 문명의 항성급 함대가 지구를 향해 출발한다
“인류가 이 전쟁에서 승리하는 것은 불가능하다. 너희는 벌레다!”
SF의 신화가 된 류츠신 『삼체』

아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 대표작 『삼체』. 『1부 : 삼체문제』 『2부 : 암흑의 숲』 『3부 : 사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다. 오바마 미국 전 대통령이 “『삼체』를 읽을 때 작품 스케일이 워낙 커서 백악관의 일상사가 사소하게 느껴졌다”(『뉴욕타임스』 인터뷰)라고 평했을 만큼, 『삼체』가 구축하고 있는 세계는 무한한 우주를 향해 끝없이 팽창한다.

『삼체』는 작가가 컴퓨터 엔지니어로 일하며 축적한 과학적 이론을 기반으로 독자들에게 우주에 관한 초월적인 시야를 선사한다. 『삼체』는 문화대혁명에서부터 수백 년 후 외계 문명과 인류의 전면전까지로 이어지는 SF 대서사시로 『1부 : 삼체문제』에서는 지구로부터 4광년 떨어져 있는 삼체 세계와 신호를 주고받으면서 외계 문명과 조우하게 된 인류의 운명을 그려내고 있으며, 『2부 : 암흑의 숲』에서는 “문명은 끊임없이 성장하고 확장되지만 우주의 물질 총량은 불변한다”라는 우주 공리(公理)를 내세우며 ‘암흑의 숲’과 같은 우주에서 살아남기 위해서는 외계 문명과의 생존경쟁이 불가피함을 말한다. 『3부 : 사신의 영생』에서는 외계 문명과의 전면전에서 살아남은 인류가 우주에 존재하는 더 큰 공포와 맞닥뜨리며 대단원의 막을 내린다. 1부에서 3부로 이어지는 무한한 상상력은 우주에 대한 본질적인 사고를 극한으로 끌어올리며 지적 즐거움을 경험하게 한다.
",1,국내도서-소설/시/희곡
8,9788925569154,89597280,이문열 삼국지 세트,"151,200원","8,400원",나관중 저/이문열 평역/정문 그림,알에이치코리아(RHK),"누적판매 2,000만 부
우리 시대를 대표하는 『이문열 삼국지』가 
현대적인 감각으로 다시 돌아왔다!

젊은 세대를 위해 내용을 손보고, 한자어 독음을 달아 읽기 쉬운 『삼국지』

1988년 출간된 이래 누적판매 2,000만 부라는 대기록을 세운『이문열 삼국지』가 출간 30여 년 만에 새롭게 출간된다. 나관중 판본을 기본으로 하여 우리 시대 대표 작가인 이문열의 글맛으로 살려낸 『이문열 삼국지』는 오랫동안 최고의 고전으로 사랑받아왔다. 무수한 평역본 중 특히 이 책이 한 세대를 넘어서까지 생명력을 가질 수 있었던 것은, 이문열 작가 특유의 날카로운 문장과 흡입력 있는 구성이 돋보였기 때문이다. 방대한 서사와 영웅호걸들의 이야기들을 지루하지 않게, 다음 권을 넘겨보게 만들어 삼국지를 처음 접한 이들도 충분히 재미있게 읽을 수 있었던 것.",1,국내도서-소설/시/희곡
9,9788954442718,107477564,삼체 3부,"22,500원","1,250원",류츠신 저/허유영 역,자음과모음,"세 개 태양이 불타는 켄타우루스 알파성 삼중성계
삼체 문명의 항성급 함대가 지구를 향해 출발한다
“인류가 이 전쟁에서 승리하는 것은 불가능하다. 너희는 벌레다!”
SF의 신화가 된 류츠신 『삼체』

아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 대표작 『삼체』. 『1부 : 삼체문제』 『2부 : 암흑의 숲』 『3부 : 사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다. 오바마 미국 전 대통령이 “『삼체』를 읽을 때 작품 스케일이 워낙 커서 백악관의 일상사가 사소하게 느껴졌다”(『뉴욕타임스』 인터뷰)라고 평했을 만큼, 『삼체』가 구축하고 있는 세계는 무한한 우주를 향해 끝없이 팽창한다.

『삼체』는 작가가 컴퓨터 엔지니어로 일하며 축적한 과학적 이론을 기반으로 독자들에게 우주에 관한 초월적인 시야를 선사한다. 『삼체』는 문화대혁명에서부터 수백 년 후 외계 문명과 인류의 전면전까지로 이어지는 SF 대서사시로 『1부 : 삼체문제』에서는 지구로부터 4광년 떨어져 있는 삼체 세계와 신호를 주고받으면서 외계 문명과 조우하게 된 인류의 운명을 그려내고 있으며, 『2부 : 암흑의 숲』에서는 “문명은 끊임없이 성장하고 확장되지만 우주의 물질 총량은 불변한다”라는 우주 공리(公理)를 내세우며 ‘암흑의 숲’과 같은 우주에서 살아남기 위해서는 외계 문명과의 생존경쟁이 불가피함을 말한다. 『3부 : 사신의 영생』에서는 외계 문명과의 전면전에서 살아남은 인류가 우주에 존재하는 더 큰 공포와 맞닥뜨리며 대단원의 막을 내린다. 1부에서 3부로 이어지는 무한한 상상력은 우주에 대한 본질적인 사고를 극한으로 끌어올리며 지적 즐거움을 경험하게 한다.
",1,국내도서-소설/시/희곡
10,9791156751298,115570358,원청,"16,650원",920원,위화 저/문현선 역,푸른숲,"현지 출간과 동시 150만 부 판매
해외 20여 개국 판권 판매

8년 만에 대륙을 다시 뒤흔든 위화 열풍
“개인의 운세를 넘어 시대의 운명을 생각하게 만드는 걸작!”

대륙 최고의 거장 위화의 새 소설 『원청: 잃어버린 도시』가 도서출판 푸른숲에서 출간되었다. 『원청』은 출간과 동시에 베스트셀러에 올랐으며 출간 1년 만에 150만 부 이상 판매되는 등 절정의 인기를 재확인시켰다. 중국 일간지 [중국청년보]는 이와 같은 현상을 두고 “문학계에서는 『원청』을 읽었느냐는 말이 인사말처럼 오갔”으며 “2021년 문학계의 중대 사건이 되었다”라고 특필했다. 

청나라로 대변되는 구시대가 저물고, 중화민국이라는 새 시대가 떠오르는 대격변기를 배경으로 펼쳐지는 『원청』은 위화의 첫 전기(傳奇) 소설로서, 작품의 스케일로나 완성도로나 가히 위화 세계의 결정판이라 할 수 있다.",1,국내도서-소설/시/희곡
