순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788937443848,4827613,이방인,"9,000원",500원,알베르 카뮈 저/김화영 역,민음사,"20세기의 지성이자 실존주의 문학의 대표 작가 알베르 카뮈. 
현실에서 소외되어 이방인으로 살아가는 현대인의 초상을 그리다.

낯선 인물과 독창적인 형식으로 현대 프랑스 문단에 '이방인'처럼 나타난 소설. 젊은 무명 작가였던 알베르 카뮈에게 세계적 명성을 안겨준 이 작품은 현실에서 소외되어 이방인으로 살아가는 현대인이 죽음을 앞두고 비로소 마주하는 실존의 체험을 강렬하게 그린다.",1,국내도서-소설/시/희곡
2,9788937461798,2950700,브람스를 좋아하세요...,"9,000원",500원,프랑수아즈 사강 저/김남주 역,민음사,"프랑스 문단의 섬세한 심리 묘사의 대가 프랑수아즈 사강이 그려낸 세 남녀의 사랑과 집착, 일탈, 불안, 기쁨. 이 작품은 전혀 다른 두 사랑 앞에서 방황하는 폴의 심리를 중심으로, 사랑이라는 감정으로 그녀와 연결된 로제와 시몽의 심리를 섬세하게 묘사하고 있다.",1,국내도서-소설/시/희곡
3,9791164455300,103952369,초판본 어린왕자,"2,700원",140원,생텍쥐페리 저/김미정 역,더스토리,"전 세계인이 가장 사랑하는 스테디셀러!
250여 개 언어로 번역, 1억 부 이상 판매된 명작!
세상에서 가장 순수한 영혼, 『어린 왕자』 오리지널 초판본 표지디자인!

생텍쥐페리는 프랑스의 유명한 소설가로, 그의 작품 『어린 왕자』는 전 세계적으로 『성경』, 『자본론』 다음으로 많이 읽히는 책이다. 250여 개 언어로 번역되었고 1억 부 이상이 팔렸다. 그런데 아이러니하게도 『어린 왕자』는 프랑스가 아니라 미국 뉴욕에서 처음 출판되었다. 당시 생텍쥐페리는 제2차 세계대전으로 미국에서 망명 중이었고, 『어린 왕자』는 1943년 4월 6일에 영어판과 프랑스어판으로 뉴욕에서 동시 출간되었다.

더스토리에서 출간한 무선 초판본 표지디자인 『어린 왕자』는 1943년 뉴욕에서 출판된 프랑스어판 초판본 표지디자인을 그대로 되살렸다. 어둡지도 너무 빛바래지도 않은 노란색 표지와 어린 왕자의 연둣빛 옷의 색감이 잘 살아 있으며, 본문에는 생텍쥐페리의 친필 사인이 들어 있다. 
",1,국내도서-소설/시/희곡
4,9791190669313,93082287,어린 왕자 오리지널 초판본,"2,880원",160원,앙투안 드 생텍쥐페리 저/김수영 역,코너스톤(도서),"‘가장 중요한 것은 눈에 보이지 않아.’
모두가 사랑하는 『어린 왕자』를 초판본 디자인으로 만나보세요.

“네가 만약 오후 네 시에 온다면, 나는 세 시부터 행복할 거야. 그리고 시간이 갈수록 더 행복해지겠지. 네 시가 되면 흥분으로 안절부절못할 거야. 그래서 행복이 얼마나 값진 것인지 알게 되겠지! 하지만 네가 아무 때나 오면, 난 언제 마음의 준비를 해야 할지 모를 거야…. 그래서 의식이 필요한 거야.”

사막에 추락한 조종사가 지구를 여행 중인 어린 왕자를 만나는 생텍쥐페리의 대표작, 『어린 왕자』는 1943년 출간 이래로 지금까지 연극, 영화, 뮤지컬, 만화, 애니메이션, 오페라, 샹송, 카세트테이프, CD 등 다양한 매체로 변용되어 많은 사랑을 받고 있다. 독자들이 읽을 때마다 늘 새로운 의미를 발견하게 해주는 『어린 왕자』는 디지털 시대에 아날로그적인 종이 책만 1억 5천만 부 이상이 팔린 것으로 유명하다.",1,국내도서-소설/시/희곡
5,9788986836837,115275383,왜 나는 너를 사랑하는가,"12,600원",700원,알랭 드 보통 저/정영목 역,청미래,"보통의 연인들을 위한 보통의 연애담
국내 70만 독자가 선택한 알랭 드 보통의 최고의 소설

연애가 사랑이 되는 순간, 우연이 사랑이 되는 순간의 비밀
사랑은 무엇이고 연애란 또 무엇인가? 
이 영원한 질문에 관한 가장 진실한 해답

30개국에서 베스트셀러를 기록한 알랭 드 보통의 대표작 『왜 나는 너를 사랑하는가』가 70만 부 판매를 기념하여 산뜻한 표지로 새롭게 출간되었다. 런던과 파리를 오가는 비행기에서 우연히 만나 순식간에 사랑에 빠진 두 젊은이에 관한 이 소설은 연인이라는 특별한 관계와 사랑의 감정을 놀라운 깊이로 그려내며 출간 직후 전 세계의 독자들을 사로잡았다.

“사랑에 빠지는 행위는 자기 자신의 허점을 넘어서고 싶어하는 인간 희망의 승리이다.” 알랭 드 보통의 이 흥미로운 소설은 사랑에 관한 철학적 명상으로 가득 차 있다.",1,국내도서-소설/시/희곡
6,9788982816635,359901,자기 앞의 생,"14,400원",800원,에밀 아자르 저/용경식 역,문학동네,"유일하게 공쿠르 상을 두 번 받은 작가 로맹 가리
하밀 할아버지, 사람은 사랑 없이도 살 수 있나요?

‘휴머니즘의 작가’로 알려진 로맹 가리는 러시아 이민자 출신의 유태인이다. 2차세계대전 후 그는 세계 각지에서 외교관으로 일하면서 1956년에는 소설 『하늘의 뿌리』로 공쿠르 상을 수상했다. 그는 가명으로도 여러 소설을 발표했는데, 아자르의 이름으로 발표한 두번째 소설 『자기 앞의 생』으로 한 작가에게 결코 두 번 주어지지 않는다는 공쿠르 상을 수상하게 되면서 공쿠르 상을 두 번 받은 작가가 되었다. 

작가는 자기의 실제 나이보다 많은 나이를 살고 있는 열네 살 모모의 눈을 통해 이해하지 못할 세상을 바라본다. 모모의 눈에 비친 세상은 결코 꿈같이 아름다운 세상이 아니다. 아이의 눈으로 바라보기 때문에 세상은 더욱 각박하고 모진 곳이다. 아랍인, 아프리카인, 창녀들, 노인... 모모가 사랑하는 사람들은 모두 사회로부터 소외되어 밑바닥 인생을 살아가는 사람들이다.",1,국내도서-소설/시/희곡
7,9788932917245,22431294,어린 왕자,"10,620원",590원,앙투안 드 생텍쥐페리 저/황현산 역,열린책들,"고 황현산 선생의 미려하고 충실한 번역과 함께
한겨울의 풍경을 그린 특별한 한정판 디자인으로 만나는 어린 왕자

프랑스 문학 연구자이자 문학 평론가인 고 황현산 선생의 미려한 번역으로 열린책들에서 출간된 생텍쥐페리의 『어린 왕자』가 특별한 한정판 디자인으로 다시 선보인다. 다양한 번역본 중에서도 단연 아름답고 충실한 문장으로 손꼽히는 황현산 선생의 번역은 지금껏 가장 많이 팔리는 한국어판으로 자리 잡고 있다.

이번에 출간하는 한정판은 우리의 마음에 언제나 남아 있는 어린 왕자가 맞이한 한겨울의 크리스마스 모습을 담은 디자인이다. 눈사람과 산타클로스 모자, 반짝이는 장식과 한 아름의 선물이 어린 왕자를 따스하게 둘러싼 사랑스러운 풍경을 특별하게 간직해 볼 수 있다.

「밤하늘을 바라볼 때면, 그 별들 중의 어느 별에서 살고 있을 테니까」라고 속삭인 어린 왕자의 말처럼, 이번 겨울 에디션은 먼 별에서 보내고 있을 어린 왕자의 다정한 시간을 행복하게 상상하도록 한다.",1,국내도서-소설/시/희곡
8,9791194280781,142685990,초판본 이방인,"2,690원",140원,알베르 카뮈 저/최헵시바 역,더스토리,"실존주의 문학의 선구자, 노벨 문학상 수상작가 
알베르 카뮈의 대표작 《이방인》
[르 몽드] 선정 20세기 최고의 작품 1위!
생의 부조리와 인간의 실존을 다룬 작품억압적 관습과 현실의 부조리의 민낯을 보여 준
실존주의 문학의 대표 작품 《이방인》

《이방인》은 알베르 카뮈가 구상한 부조리극의 삼부작 중 하나이자 그가 쓴 최초의 소설이다. 1942년 5월 말, 출간 당시부터 문학적 ‘사건’으로 취급될 정도로 엄청난 호평을 받았으며 제2차 세계대전 이후 최대의 걸작이라는 극찬을 받았다. 《이방인》은 작품 그 자체로 보나 20세기 서사 형식의 역사에서 보나 독보적인 위치에 있는 작품이다. 당시 스물아홉의 젊은 알베르 카뮈를 세계적 작가의 반열에 올려놓고, 1957년 노벨 문학상의 영예를 안겨주기도 했다. 

20세기를 마감하던 1999년 프랑스의 권위지 〈르 몽드〉가 지난 세기 최고의 작품을 선정하는 투표를 실시했다.",1,국내도서-소설/시/희곡
9,9788937462672,4827619,페스트,"12,600원",700원,알베르 카뮈 저/김화영 역,민음사,"위험이 도사리는 폐쇄된 도시, 
극한의 절망과 마주하는 다양한 인간 군상.

페스트라는 비극의 소용돌이 속에서도 현실을 직시하며 의연히 운명과 대결하는 인간의 모습을 다룬 걸작. 카뮈는 이 작품에서 공포와 죽음, 이별의 아픔 등 인간이 경험하게 되는 극한의 고통과 절망을 그려낸다.",1,국내도서-소설/시/희곡
10,9788932924984,143753016,그녀를 지키다,"19,800원","1,100원",장바티스트 앙드레아 저/정혜용 역,열린책들,"★★★ 2023년 공쿠르상 수상
★★★ 2023년 프낙 소설상 수상

데뷔 이래 단 네 권의 소설로 프랑스 주요 문학상 19개를 수상한
지금 가장 뜨겁게 주목받는 작가, 장바티스트 앙드레아의 빛나는 걸작

펴내는 소설마다 프랑스의 주요 문학상을 휩쓸며 폭발적인 화제를 모으고 있는 장바티스트 앙드레아의 장편소설 『그녀를 지키다』가 정혜용 씨의 번역으로 열린책들에서 출간되었다. 세계 3대 문학상인 공쿠르상을 수상한 이 작품은 수도원 지하에 유폐된 피에타 석상에 숨겨진 비밀을 석공 미모의 굴곡진 삶을 통해 풀어 가면서, 파시즘이 득세하던 당시 이탈리아의 풍경을 섬세하게 묘사하고 그 속에서 태생적 한계와 사회적 난관에도 꺾이지 않는 인간 영혼의 아름다움을 설득력 있게 보여 준다.

영화감독이자 시나리오 작가이기도 한 장바티스트 앙드레아는 자신의 특기를 유감없이 발휘해 소설의 장면 장면을 마치 영화의 한 컷처럼 생동감 넘치게 담아 냈다.",1,국내도서-소설/시/희곡
11,9791159319013,123773528,행복한 죽음,"9,720원",540원,알베르 까뮈 저/김화영 역,책세상,"알베르 카뮈 탄생 110주년인 2023년을 맞아 새로운 장정과 번역으로 선보이는 ‘책세상 카뮈 전집 개정판’ 5권. 카뮈가 1936년에서 1938년 사이에 구상 및 집필했으나, 카뮈 사후 1971년에야 세상에 빛을 보게 된 카뮈의 실질적인 데뷔작이자 『이방인』의 모태가 된 소설. 『결혼·여름』과 같은 초기 산문에서 볼 수 있는 청년 카뮈의 에피소드 등이 활용돼 있어, 카뮈의 애독자에게 귀중한 선물이 될 작품이다.
",2,국내도서-소설/시/희곡
12,9788956608846,30547371,낭만적 연애와 그 후의 일상,"15,300원",850원,알랭 드 보통 저/김한영 역,은행나무,"알랭 드 보통, 21년 만의 장편 소설



“언제 다시 소설을 쓸 거냐고 물으면 전 항상

‘사랑에 대해 쓸 것이 충분히 생기면’이라고 대답했습니다.”



사랑이 이루어지고 나면 연인들에게는 무슨 일이 벌어질까? 알랭 드 보통이 21년 만에 내놓은 이 소설은 결혼한 한 커플의 삶을 통해 일상의 범주에 들어온 사랑에 대해 통찰한다. 열렬히 사랑을 고백하고 영원을 약속한 연인도 어느 순간 상대의 유일무이함에 의구심을 품게 되기 마련이다. 그렇다면 그것은 애초에 사랑이 아니라는 낭만주의적 결론이나 사랑 자체가 존재하지 않는다는 비관론적 결론에 지체하지 않고 알랭 드 보통은 지금의 사랑을 어떻게 하면 지속가능하게 할 것인지에 대해 현실적인 논의를 펼친다.",1,국내도서-소설/시/희곡
